internalTaxonId,researchNeededCode,researchNeededName
22717059,1.3,Life history & ecology
22717059,1.5,Threats
22715162,1.2,"Population size, distribution & trends"
103772009,1.2,"Population size, distribution & trends"
103772009,1.3,Life history & ecology
211665334,3.1,Population trends
211665334,3.4,Habitat trends
211665334,1.1,Taxonomy
211665334,1.2,"Population size, distribution & trends"
211665334,1.3,Life history & ecology
211665334,1.5,Threats
211715807,3.1,Population trends
211715807,3.2,Harvest level trends
211715807,1.2,"Population size, distribution & trends"
211715807,1.3,Life history & ecology
211717877,1.2,"Population size, distribution & trends"
211717877,1.3,Life history & ecology
22728020,1.2,"Population size, distribution & trends"
22728020,1.3,Life history & ecology
22728020,1.5,Threats
22714454,3.1,Population trends
22714454,1.2,"Population size, distribution & trends"
22714454,1.3,Life history & ecology
22714454,1.5,Threats
213319754,3.1,Population trends
213319754,1.2,"Population size, distribution & trends"
213319754,1.3,Life history & ecology
213319754,1.5,Threats
22679881,1.2,"Population size, distribution & trends"
216617275,2.2,Area-based Management Plan
216617275,3.1,Population trends
216617275,3.4,Habitat trends
216617275,1.2,"Population size, distribution & trends"
216617275,1.3,Life history & ecology
216617275,1.5,Threats
216617275,1.6,Actions
216617275,2.1,Species Action/Recovery Plan
216709698,3.1,Population trends
216709698,1.2,"Population size, distribution & trends"
216709698,1.5,Threats
22714757,1.2,"Population size, distribution & trends"
22714757,3.1,Population trends
22730775,3.1,Population trends
22730775,1.2,"Population size, distribution & trends"
22730775,1.5,Threats
22710287,3.1,Population trends
22710287,1.2,"Population size, distribution & trends"
22710287,1.5,Threats
177945543,3.4,Habitat trends
177945543,1.2,"Population size, distribution & trends"
177945543,1.5,Threats
216556469,3.1,Population trends
216556469,3.4,Habitat trends
216556469,1.3,Life history & ecology
189959304,1.1,Taxonomy
189959304,1.2,"Population size, distribution & trends"
189958719,1.2,"Population size, distribution & trends"
189958719,1.3,Life history & ecology
189959024,1.2,"Population size, distribution & trends"
189959024,1.3,Life history & ecology
217821576,1.2,"Population size, distribution & trends"
189959447,1.2,"Population size, distribution & trends"
189959900,1.2,"Population size, distribution & trends"
217821763,1.2,"Population size, distribution & trends"
217821766,1.2,"Population size, distribution & trends"
189959771,1.2,"Population size, distribution & trends"
189958099,1.2,"Population size, distribution & trends"
189960005,1.2,"Population size, distribution & trends"
189960005,1.3,Life history & ecology
189958732,1.2,"Population size, distribution & trends"
217821702,1.2,"Population size, distribution & trends"
189958995,1.2,"Population size, distribution & trends"
217821562,1.1,Taxonomy
217821562,1.2,"Population size, distribution & trends"
216557227,3.1,Population trends
216557227,3.4,Habitat trends
216557227,1.3,Life history & ecology
218582764,1.2,"Population size, distribution & trends"
218582764,1.3,Life history & ecology
218582764,1.4,"Harvest, use & livelihoods"
218582764,2.2,Area-based Management Plan
218582764,3.1,Population trends
218582764,3.2,Harvest level trends
218582764,3.3,Trade trends
218582764,3.4,Habitat trends
218582764,1.5,Threats
218582764,1.6,Actions
218582764,2.1,Species Action/Recovery Plan
219176408,3.4,Habitat trends
219176408,1.2,"Population size, distribution & trends"
219176408,1.5,Threats
219273119,1.2,"Population size, distribution & trends"
216912644,3.1,Population trends
216912644,1.5,Threats
177562,1.2,"Population size, distribution & trends"
177562,1.4,"Harvest, use & livelihoods"
79011543,3.4,Habitat trends
79011543,1.2,"Population size, distribution & trends"
79011543,1.5,Threats
79011543,3.2,Harvest level trends
79011543,3.1,Population trends
92488656,2.2,Area-based Management Plan
92488656,3.1,Population trends
92488656,3.2,Harvest level trends
92488656,3.3,Trade trends
92488656,3.4,Habitat trends
92488656,1.2,"Population size, distribution & trends"
92488656,1.6,Actions
92488656,2.1,Species Action/Recovery Plan
92488692,2.2,Area-based Management Plan
92488692,3.1,Population trends
92488692,3.2,Harvest level trends
92488692,3.3,Trade trends
92488692,3.4,Habitat trends
92488692,1.2,"Population size, distribution & trends"
92488692,1.3,Life history & ecology
4224,3.1,Population trends
4224,3.2,Harvest level trends
4224,3.3,Trade trends
4224,3.4,Habitat trends
4224,1.1,Taxonomy
4224,1.2,"Population size, distribution & trends"
4224,1.4,"Harvest, use & livelihoods"
136877,1.2,"Population size, distribution & trends"
181008073,3.1,Population trends
181008073,1.1,Taxonomy
181008073,1.2,"Population size, distribution & trends"
181008073,1.3,Life history & ecology
181008073,1.4,"Harvest, use & livelihoods"
181008073,1.5,Threats
181008073,1.6,Actions
147861887,1.2,"Population size, distribution & trends"
147861887,1.5,Threats
147866453,1.2,"Population size, distribution & trends"
147866453,1.5,Threats
147868050,1.2,"Population size, distribution & trends"
128045281,1.2,"Population size, distribution & trends"
128045281,3.1,Population trends
202812,1.3,Life history & ecology
202812,1.2,"Population size, distribution & trends"
202812,3.1,Population trends
30522,2.2,Area-based Management Plan
30522,3.1,Population trends
30522,3.4,Habitat trends
30522,1.2,"Population size, distribution & trends"
30522,1.3,Life history & ecology
30522,1.5,Threats
123707530,3.1,Population trends
123707530,1.1,Taxonomy
162640061,1.1,Taxonomy
17839,1.5,Threats
17839,1.2,"Population size, distribution & trends"
17839,3.1,Population trends
169784342,1.2,"Population size, distribution & trends"
169784342,3.1,Population trends
169784342,3.4,Habitat trends
169784342,1.3,Life history & ecology
172316918,1.2,"Population size, distribution & trends"
172316918,1.5,Threats
